context_id,text
github 002,"            const match = raw.match(
                /^(https?:\/\/raw\.github(?:usercontent)?\.com\/[^\/]+\/[^\/]+\/)([^\/]+)\/(.*)$/
            )!;

            return {
                ""type"": ""GITHUB-RAW URL"",
                ""baseUrlWithoutBranch"": match[1]
                    .replace(
                        /^https?:\/\/raw\.github(?:usercontent)?/,
                        ""https://raw.githubusercontent""
                    )
                    .replace(/\/$/, """")
                ,
                ""branch"": match[2],
                ""pathToIndex"": match[3]
            };

        }

        export function match(raw: string): boolean {
            return /^https?:\/\/raw\.github(?:usercontent)?\.com/.test(raw);
        }

    }

    /** e.g: https://deno.land/x/foo@1.2.3/mod.js */
    export type DenoLandUrl = {
        type: ""DENO.LAND URL""
        isStd: boolean;
        baseUrlWithoutBranch: string;
        pathToIndex: string;
        branch?: string;
    };

    export namespace DenoLandUrl {

        export function parse(raw: string): DenoLandUrl {

            const isStd = /^https?:\/\/deno\.land\/std/.test(raw);

            const match = isStd ?
                raw.match(/^(https?:\/\/deno\.land\/std)([@\/].*)$/)! :
                raw.match(/^(https?:\/\/deno\.land\/x\/[^@\/]+)([@\/].*)$/)!
                ;

            // https://deno.land/std@master/node/querystring.ts
            // [1]: https://deno.land/std
            // [2]: @master/node/querystring.ts

            // https://deno.land/std/node/querystring.ts
            // [1]: https://deno.land/std
            // [2]: /node/querystring.ts

            //https://deno.land/x/foo@1.2.3/"
github 015,"To use `KeyboardController`, simply initialize it with an array of `UITextField` objects.

```swift
let fields = [field1!, field2!, field3!, field4!, field5!]
self.controller = KeyboardController(fields: fields)
```

You can interact with `KeyboardController` directly via the following methods:

```swift
func moveToNextField()
func moveToPreviousField()
func closeKeyboard()
```

`KeyboardController`, depending on a `returnKeyType` property of an `UITextField` instance, will:

* `UIReturnKeyNext` - move to next text field
* `UIReturnKeyDone` - close keyboard


### KeyboardControllerDelegate 

You could also take advantage of delegation methods:

```swift
func controllerDidHideKeyboard(controller: KeyboardController)
func controllerDidShowKeyboard(controller: KeyboardController)
func controllerWillHideKeyboard(controller: KeyboardController)
func controllerWillShowKeyboard(controller: KeyboardController)
```

by setting a `delegate` property of a `KeyboardController`:

```swift
self.keyboardController.delegate = self;
```


### UITextFieldDelegate 

There is also an option of setting a `textFieldDelegate` property of all textFields that are under control of `KeyboardController`:

```swift
self.keyboardController.textFieldDelegate = self;
```

This could be particulary useful if you would like to add individual behaviour to `UITextFields` objects.

```swift
func textFieldDidBeginEditing(_ textField: UITextField) {
    if (textField == self.field4) { self.moveViewBy(-10) }
    if (textField == self.field5) { self.moveViewBy(-200) }
}

func textFieldDidEndEditing(_ textField: UITextField) {
    if (textField == self.field4) { self.moveViewBy(10) }
    if (textField == self.field5) { self.moveViewBy(200) }
}
```

## Contributing

1. Fork it.
2. Create your feature branch (`git checkout -"
github 028,"  public function shouldAllowRestrictedParameter($parameter_name) {
    // Prevent false positives from file content when it is submitted via
    // drag-and-drop upload.
    return true;
  }

  /**
   * @phutil-external-symbol class PhabricatorStartup
   */
  public function handleRequest(AphrontRequest $request) {
    $viewer = $request->getViewer();

    // NOTE: Throws if valid CSRF token is not present in the request.
    $request->validateCSRF();

    $name = $request->getStr('name');
    $file_phid = $request->getStr('phid');
    // If there's no explicit view policy, make it very restrictive by default.
    // This is the correct policy for files dropped onto objects during
    // creation, comment and edit flows.
    $view_policy = $request->getStr('viewPolicy');
    if (!$view_policy) {
      $view_policy = $viewer->getPHID();
    }

    $is_chunks = $request->getBool('querychunks');
    if ($is_chunks) {
      $params = array(
        'filePHID' => $file_phid,
      );

      $result = id(new ConduitCall('file.querychunks', $params))
        ->setUser($viewer)
        ->execute();

      return id(new AphrontAjaxResponse())->setContent($result);
    }

    $is_allocate = $request->getBool('allocate');
    if ($is_allocate) {
      $params = array(
        'name' => $name,
        'contentLength' => $request->getInt('length'),
        'viewPolicy' => $view_policy,
      );

      $result = id(new ConduitCall('file.allocate', $params))
        ->setUser($viewer)
        ->execute();

      $file_phid = $result['filePHID'];
      if ($file_phid) {
        $file = $this->loadFile($file_phid);
        $result += $file->getDragAndDropDictionary();
"
github 041,"testIncrementation(org.apache.commons.math.stat.descriptive.rank.MinTest)
testConsistency(org.apache.commons.math.stat.descriptive.rank.MinTest)
testEqualsAndHashCode(org.apache.commons.math.stat.descriptive.rank.MinTest)
testEvaluation(org.apache.commons.math.stat.descriptive.rank.MinTest)
testPercentile(org.apache.commons.math.stat.descriptive.rank.PercentileTest)
testNISTExample(org.apache.commons.math.stat.descriptive.rank.PercentileTest)
testSingleton(org.apache.commons.math.stat.descriptive.rank.PercentileTest)
testSetQuantile(org.apache.commons.math.stat.descriptive.rank.PercentileTest)
test5(org.apache.commons.math.stat.descriptive.rank.PercentileTest)
testHighPercentile(org.apache.commons.math.stat.descriptive.rank.PercentileTest)
testSpecialValues(org.apache.commons.math.stat.descriptive.rank.PercentileTest)
testNullEmpty(org.apache.commons.math.stat.descriptive.rank.PercentileTest)
testEvaluation(org.apache.commons.math.stat.descriptive.rank.PercentileTest)
testSpecialValues(org.apache.commons.math.stat.descriptive.summary.ProductTest)
testMomentSmallSamples(org.apache.commons.math.stat.descriptive.summary.ProductTest)
testSerialization(org.apache.commons.math.stat.descriptive.summary.ProductTest)
testIncrementation(org.apache.commons.math.stat.descriptive.summary.ProductTest)
testConsistency(org.apache.commons.math.stat.descriptive.summary.ProductTest)
testEqualsAndHashCode(org.apache.commons.math.stat.descriptive.summary.ProductTest)
testEvaluation(org.apache.commons.math.stat.descriptive.summary.ProductTest)
testSpecialValues(org.apache.commons.math.stat.descriptive.summary.SumLogTest)
testMomentSmallSamples(org.apache.commons."
github 054,"{ config, pkgs, lib, ... }:

with lib;

let
  cfg = config.services.jackett;

in
{
  options = {
    services.jackett = {
      enable = mkEnableOption ""Jackett"";

      dataDir = mkOption {
        type = types.str;
        default = ""/var/lib/jackett/.config/Jackett"";
        description = ""The directory where Jackett stores its data files."";
      };

      openFirewall = mkOption {
        type = types.bool;
        default = false;
        description = ""Open ports in the firewall for the Jackett web interface."";
      };

      user = mkOption {
        type = types.str;
        default = ""jackett"";
        description = ""User account under which Jackett runs."";
      };

      group = mkOption {
        type = types.str;
        default = ""jackett"";
        description = ""Group under which Jackett runs."";
      };

      package = mkOption {
        type = types.package;
        default = pkgs.jackett;
        defaultText = ""pkgs.jackett"";
        description = ""Jackett package to use."";
      };
    };
  };

  config = mkIf cfg.enable {
    systemd.tmpfiles.rules = [
      ""d '${cfg.dataDir}' 0700 ${cfg.user} ${cfg.group} - -""
    ];

    systemd.services.jackett = {
      description = ""Jackett"";
      after = [ ""network.target"" ];
      wantedBy = [ ""multi-user.target"" ];

      serviceConfig = {
        Type = ""simple"";
        User = cfg.user;
        Group = cfg.group;
        ExecStart = ""${cfg.package}/bin/Jackett --NoUpdates --DataFolder '${cfg.dataDir}'"";
        Restart = ""on-failure"";
      };
    };

    networking.firewall = mkIf cfg.openFirewall {
      allowedTCPPorts = [ 9117 ];
    };

    users.users = mkIf (cfg.user == ""jackett"") {
      jackett = {
        group"
github 067,"---
title: ""Delete androidStoreApp""
description: ""Deletes a androidStoreApp.""
author: ""dougeby""
localization_priority: Normal
ms.prod: ""intune""
doc_type: apiPageType
---

# Delete androidStoreApp

Namespace: microsoft.graph

> **Important:** Microsoft Graph APIs under the /beta version are subject to change; production use is not supported.

> **Note:** The Microsoft Graph API for Intune requires an [active Intune license](https://go.microsoft.com/fwlink/?linkid=839381) for the tenant.

Deletes a [androidStoreApp](../resources/intune-apps-androidstoreapp.md).

## Prerequisites
One of the following permissions is required to call this API. To learn more, including how to choose permissions, see [Permissions](/graph/permissions-reference).

|Permission type|Permissions (from most to least privileged)|
|:---|:---|
|Delegated (work or school account)|DeviceManagementApps.ReadWrite.All|
|Delegated (personal Microsoft account)|Not supported.|
|Application|DeviceManagementApps.ReadWrite.All|

## HTTP Request
<!-- {
  ""blockType"": ""ignored""
}
-->
``` http
DELETE /deviceAppManagement/mobileApps/{mobileAppId}
DELETE /deviceAppManagement/mobileApps/{mobileAppId}/userStatuses/{userAppInstallStatusId}/app
DELETE /deviceAppManagement/mobileApps/{mobileAppId}/deviceStatuses/{mobileAppInstallStatusId}/app
```

## Request headers
|Header|Value|
|:---|:---|
|Authorization|Bearer &lt;token&gt; Required.|
|Accept|application/json|

## Request body
Do not supply a request body for this method.

## Response
If successful, this method returns a `204 No Content` response code.

## Example

### Request
Here is an example of the request.
``` http
DELETE https://graph.microsoft.com/beta/deviceAppManagement/mobileApps/{mobileAppId}
```

### Response
Here is an example of the response. Note: The response object shown here may"
github 080,"	/// Sender side of the neighbor packet channel.
	///
	/// Packets sent into this channel are processed by the `NeighborPacketWorker` and passed on to
	/// the underlying `GossipEngine`.
	neighbor_sender: periodic::NeighborPacketSender<B>,

	/// `NeighborPacketWorker` processing packets sent through the `NeighborPacketSender`.
	//
	// `NetworkBridge` is required to be cloneable, thus one needs to be able to clone its children,
	// thus one has to wrap `neighbor_packet_worker` with an `Arc` `Mutex`.
	neighbor_packet_worker: Arc<Mutex<periodic::NeighborPacketWorker<B>>>,

	/// Receiver side of the peer report stream populated by the gossip validator, forwarded to the
	/// gossip engine.
	//
	// `NetworkBridge` is required to be cloneable, thus one needs to be able to clone its children,
	// thus one has to wrap gossip_validator_report_stream with an `Arc` `Mutex`. Given that it is
	// just an `UnboundedReceiver`, one could also switch to a multi-producer-*multi*-consumer
	// channel implementation.
	gossip_validator_report_stream: Arc<Mutex<TracingUnboundedReceiver<PeerReport>>>,
}

impl<B: BlockT, N: Network<B>> Unpin for NetworkBridge<B, N> {}

impl<B: BlockT, N: Network<B>> NetworkBridge<B, N> {
	/// Create a new NetworkBridge to the given NetworkService. Returns the service
	/// handle.
	/// On creation it will register previous rounds' votes with the gossip
	/// service taken from the VoterSetState.
	pub(crate) fn new(
		service: N,
		config: crate::Config,
		set_state: crate::environment::SharedVoterSetState<B>,
		prometheus_registry: Option<&Registry>,
	) -> Self {
		let (validator, report_stream) = GossipValidator::new(
			config,
			set_state.clone(),
			prometheus_registry,
		);

		let validator = Arc::new(valid"
github 093,"@rem ##########################################################################

@rem Set local scope for the variables with windows NT shell
if ""%OS%""==""Windows_NT"" setlocal

@rem Add default JVM options here. You can also use JAVA_OPTS and GRADLE_OPTS to pass JVM options to this script.
set DEFAULT_JVM_OPTS=

set DIRNAME=%~dp0
if ""%DIRNAME%"" == """" set DIRNAME=.
set APP_BASE_NAME=%~n0
set APP_HOME=%DIRNAME%

@rem Find java.exe
if defined JAVA_HOME goto findJavaFromJavaHome

set JAVA_EXE=java.exe
%JAVA_EXE% -version >NUL 2>&1
if ""%ERRORLEVEL%"" == ""0"" goto init

echo.
echo ERROR: JAVA_HOME is not set and no 'java' command could be found in your PATH.
echo.
echo Please set the JAVA_HOME variable in your environment to match the
echo location of your Java installation.

goto fail

:findJavaFromJavaHome
set JAVA_HOME=%JAVA_HOME:""=%
set JAVA_EXE=%JAVA_HOME%/bin/java.exe

if exist ""%JAVA_EXE%"" goto init

echo.
echo ERROR: JAVA_HOME is set to an invalid directory: %JAVA_HOME%
echo.
echo Please set the JAVA_HOME variable in your environment to match the
echo location of your Java installation.

goto fail

:init
@rem Get command-line arguments, handling Windowz variants

if not ""%OS%"" == ""Windows_NT"" goto win9xME_args
if ""%@eval[2+2]"" == ""4"" goto 4NT_args

:win9xME_args
@rem Slurp the command line arguments.
set CMD_LINE_ARGS=
set _SKIP=2

:win9xME_args_slurp
if ""x%~1"" == ""x"" goto execute

set CMD_LINE_ARGS=%*
goto execute

:4"
github 106,"import org.apache.log4j.Logger;

import com.trilead.ssh2.Connection;
import com.trilead.ssh2.Session;

public class SshTest {
    
    public static final Logger s_logger = Logger.getLogger(SshTest.class.getName());
    public static String host = """";
    public static String password = ""password"";
    public static String url = ""http://google.com"";
    
    public static void main (String[] args) {
        
        // Parameters
        List<String> argsList = Arrays.asList(args);
        Iterator<String> iter = argsList.iterator();
        while (iter.hasNext()) {
            String arg = iter.next();
            if (arg.equals(""-h"")) {
                host = iter.next();
            }   
            if (arg.equals(""-p"")) {
                password = iter.next();
            }  
            
            if (arg.equals(""-u"")) {
                url = iter.next();
            }  
        }
    
        if (host == null || host.equals("""")) {
            s_logger.info(""Did not receive a host back from test, ignoring ssh test"");
            System.exit(2);
        }
        
        if (password == null){
            s_logger.info(""Did not receive a password back from test, ignoring ssh test"");
            System.exit(2);
        }

        try {
            s_logger.info(""Attempting to SSH into host "" + host);
            Connection conn = new Connection(host);
            conn.connect(null, 60000, 60000);

            s_logger.info(""User + ssHed successfully into host "" + host);

            boolean isAuthenticated = conn.authenticateWithPassword(""root"", password);

            if (isAuthenticated == false) {
                s_logger.info(""Authentication failed for root with password"" + password);
                System.exit(2);
            }
            
            String linuxCommand = ""wget "" + url;
            Session sess = conn.openSession();
            sess.execCommand(linuxCommand);
            sess.close();
            conn.close();"
github 119,"// 4

template<class Rt2, class R, class T,
    class B1, class B2, class B3, class B4,
    class A1, class A2, class A3, class A4, class A5>
    _bi::bind_t<Rt2, _mfi::BOOST_BIND_MF_NAME(mf4)<R, T, B1, B2, B3, B4>, typename _bi::list_av_5<A1, A2, A3, A4, A5>::type>
    BOOST_BIND(boost::type<Rt2>, R (BOOST_BIND_MF_CC T::*f) (B1, B2, B3, B4), A1 a1, A2 a2, A3 a3, A4 a4, A5 a5)
{
    typedef _mfi::BOOST_BIND_MF_NAME(mf4)<R, T, B1, B2, B3, B4> F;
    typedef typename _bi::list_av_5<A1, A2, A3, A4, A5>::type list_type;
    return _bi::bind_t<Rt2, F, list_type>(F(f), list_type(a1, a2, a3, a4, a5));
}

template<class Rt2, class R, class T,
    class B1, class B2, class B3, class B4,
    class A1, class A2, class A3, class A4, class A5>
    _bi::bind_t<Rt2, _mfi::BOOST_BIND_MF_NAME(cmf4)<R, T, B1, B2, B3, B4>, typename _bi::list_av_5<A1, A2, A3, A4, A5>::type>
    BOOST_BIND(boost::type<Rt2>, R (BOOST_BIND_MF_CC T::*f) (B1, B2, B3, B4) const, A1 a1, A2 a2, A3 a3, A4 a4, A5 a5)"
github 132,"  function inString(stream, state) {
    var escaped = false, next;
    while (next = stream.next()) {
      if (next == '""' && !escaped) { state.tokenize = base; break; }
      escaped = !escaped && next == ""\\"";
    }
    return ""string"";
  }

  function inComment(stream, state) {
    var next, last;
    while (next = stream.next()) {
      if (next == ""#"" && last == ""|"") { state.tokenize = base; break; }
      last = next;
    }
    type = ""ws"";
    return ""comment"";
  }

  return {
    startState: function () {
      return {ctx: {prev: null, start: 0, indentTo: 0}, tokenize: base};
    },

    token: function (stream, state) {
      if (stream.sol() && typeof state.ctx.indentTo != ""number"")
        state.ctx.indentTo = state.ctx.start + 1;

      type = null;
      var style = state.tokenize(stream, state);
      if (type != ""ws"") {
        if (state.ctx.indentTo == null) {
          if (type == ""symbol"" && assumeBody.test(stream.current()))
            state.ctx.indentTo = state.ctx.start + config.indentUnit;
          else
            state.ctx.indentTo = ""next"";
        } else if (state.ctx.indentTo == ""next"") {
          state.ctx.indentTo = stream.column();
        }
      }
      if (type == ""open"") state.ctx = {prev: state.ctx, start: stream.column(), indentTo: null};
      else if (type == ""close"") state.ctx = state.ctx.prev || state.ctx;
      return style;
    },

    indent: function (state, _textAfter) {
      var i = state.ctx.indentTo;
      return typeof i == ""number"" ? i : state.ctx.start + 1;
    },

    lineComment: "";;"",
    blockCommentStart: ""#|"",
    blockComment"
github 145,"/* Header describing `ar' archive file format.
   Copyright (C) 1996 Free Software Foundation, Inc.
   This file is part of the GNU C Library.

   The GNU C Library is free software; you can redistribute it and/or
   modify it under the terms of the GNU Lesser General Public
   License as published by the Free Software Foundation; either
   version 2.1 of the License, or (at your option) any later version.

   The GNU C Library is distributed in the hope that it will be useful,
   but WITHOUT ANY WARRANTY; without even the implied warranty of
   MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the GNU
   Lesser General Public License for more details.

   You should have received a copy of the GNU Lesser General Public
   License along with the GNU C Library; if not, write to the Free
   Software Foundation, Inc., 59 Temple Place, Suite 330, Boston, MA
   02111-1307 USA.  */

#ifndef _AR_H
#define _AR_H 1

#include <sys/cdefs.h>

/* Archive files start with the ARMAG identifying string.  Then follows a
   `struct ar_hdr', and as many bytes of member file data as its `ar_size'
   member indicates, for each member file.  */

#define ARMAG	""!<arch>\n""	/* String that begins an archive file.  */
#define SARMAG	8		/* Size of that string.  */

#define ARFMAG	""`\n""		/* String in ar_fmag at end of each header.  */

__BEGIN_DECLS

struct ar_hdr
  {
    char ar_name[16];		/* Member file name, sometimes / terminated. */
    char ar_date[12];		/* File date, decimal seconds since Epoch.  */
    char ar_uid[6], ar_gid[6];	/* User and group IDs, in ASCII decimal.  */
    char ar_mode[8];		/* File mode, in ASCII octal.  */
    char ar_size[10];		/* File size, in ASCII decimal.  */
    char ar_fmag[2];		/* Always contains"
github 158,"UPDATE quest_template_addon SET RequiredSkillID = 2557, RequiredSkillPoints = 100 WHERE (ID = 52227);
UPDATE quest_template_addon SET RequiredSkillID = 2557, RequiredSkillPoints = 150 WHERE (ID = 52226);
UPDATE quest_template_addon SET RequiredSkillID = 2557, RequiredSkillPoints = 150 WHERE (ID = 52228);
UPDATE quest_template_addon SET RequiredSkillID = 2565, RequiredSkillPoints = 50 WHERE (ID = 48752);
UPDATE quest_template_addon SET RequiredSkillID = 2565, RequiredSkillPoints = 50 WHERE (ID = 48764);
UPDATE quest_template_addon SET RequiredSkillID = 2565, RequiredSkillPoints = 150 WHERE (ID = 48767);
UPDATE quest_template_addon SET RequiredSkillID = 2565, RequiredSkillPoints = 150 WHERE (ID = 48770);
UPDATE quest_template_addon SET RequiredSkillID = 2565, RequiredSkillPoints = 50 WHERE (ID = 48752);
UPDATE quest_template_addon SET RequiredSkillID = 2565, RequiredSkillPoints = 150 WHERE (ID = 48761);
UPDATE quest_template_addon SET RequiredSkillID = 2565, RequiredSkillPoints = 50 WHERE (ID = 51568);
UPDATE quest_template_addon SET RequiredSkillID = 2565, RequiredSkillPoints = 150 WHERE (ID = 48768);
UPDATE quest_template_addon SET RequiredSkillID = 2565, RequiredSkillPoints = 150 WHERE (ID = 52044);
UPDATE quest_template_addon SET RequiredSkillID = 2565, RequiredSkillPoints = 150 WHERE (ID = 52049);
UPDATE quest_template_addon SET RequiredSkillID = 2565, RequiredSkillPoints = 150 WHERE (ID = 52050);
UPDATE quest_template_addon SET RequiredSkillID = 2565, RequiredSkillPoints = 150 WHERE (ID = 51380);
UPDATE quest_template_addon SET RequiredSkillID = 2549, RequiredSkillPoints = 50 WHERE (ID = 52050);
UPDATE quest_template_addon SET RequiredSkillID = 2549, RequiredSkillPoints = 150 WHERE (ID = 48754);
UPDATE quest"
github 171,"	template <typename T, precision P, template <typename, precision> class vecType>
	GLM_FUNC_QUALIFIER typename vecType<T, P>::bool_type greaterThan
	(
		vecType<T, P> const & x,
		vecType<T, P> const & y
	)
	{
		GLM_STATIC_ASSERT(std::numeric_limits<T>::is_iec559 || std::numeric_limits<T>::is_integer,
			""Invalid template instantiation of 'greaterThan', GLM vector types required floating-point or integer value types vectors"");
		assert(x.length() == y.length());

		typename vecType<bool, P>::bool_type Result(vecType<bool, P>::_null);
		for(int i = 0; i < x.length(); ++i)
			Result[i] = x[i] > y[i];
		return Result;
	}

	template <typename T, precision P, template <typename, precision> class vecType>
	GLM_FUNC_QUALIFIER typename vecType<T, P>::bool_type greaterThanEqual
	(
		vecType<T, P> const & x,
		vecType<T, P> const & y
	)
	{
		GLM_STATIC_ASSERT(std::numeric_limits<T>::is_iec559 || std::numeric_limits<T>::is_integer,
			""Invalid template instantiation of 'greaterThanEqual', GLM vector types required floating-point or integer value types vectors"");
		assert(x.length() == y.length());

		typename vecType<bool, P>::bool_type Result(vecType<bool, P>::_null);
		for(int i = 0; i < x.length(); ++i)
			Result[i] = x[i] >= y[i];
		return Result;
	}

	template <typename T, precision P, template <typename, precision> class vecType>
	GLM_FUNC_QUALIFIER typename vecType<T, P>::bool_type equal
	(
		vecType<T, P> const & x,
		vecType<T, P> const & y
	)
	"
