Model,NaturalQuestions (closed)_F1,TruthfulQA_EM,MMLU_EM,IMDB_EM,RAFT_EM,CivilComments_EM,BoolQ_EM,NarrativeQA_F1,NaturalQuestions (open)_F1,QuAC_F1,CNN/DailyMail_ROUGE-2,XSUM_ROUGE-2
pythia-70m/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pythia-70m/16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pythia-70m/32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pythia-70m/64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pythia-70m/128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pythia-70m/256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005050573615312322,0.01067206101488016
pythia-70m/512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666666666,0.004471794871794872,0.013363670291143458,0.008533683300315268
pythia-70m/1000,0.0,0.14,0.225,0.34,0.19545454545454544,0.6428571428571429,0.58,0.021436942841625114,0.004,0.05887830622536505,0.003561601061074873,0.002978020377593741
pythia-70m/2000,0.005,0.2,0.23928571428571427,0.14,0.4318181818181818,0.44642857142857145,0.58,0.046760437992706474,0.05665213939826943,0.11245903055027692,0.0,0.0
pythia-70m/3000,0.0,0.16,0.19285714285714284,0.32,0.3590909090909091,0.4523809523809524,0.42,0.04500227441403911,0.04517424173970664,0.12795688608435035,0.00038402457757296467,0.0
pythia-70m/4000,0.0,0.14,0.325,0.28,0.4318181818181818,0.35714285714285715,0.48,0.06233238945789553,0.052529826212819444,0.13108887051371582,0.014873288336886689,0.0
pythia-70m/5000,0.01,0.14,0.3321428571428572,0.66,0.36363636363636365,0.6428571428571429,0.54,0.050525679854091385,0.0010256410256410256,0.1451339520402149,0.0016585170048168151,0.006931795619933876
pythia-70m/6000,0.0,0.08,0.3,0.36,0.40454545454545454,0.5059523809523809,0.54,0.0721587347799218,0.0,0.14291333607966708,0.0020415744193994145,0.0063199444514353866
pythia-70m/7000,0.0,0.02,0.25357142857142856,0.32,0.38181818181818183,0.5357142857142857,0.6,0.09017141344362112,0.07340805538201693,0.11391069680165464,0.002883485710596983,0.01600801986907209
pythia-70m/8000,0.0,0.18,0.225,0.36,0.4,0.6428571428571429,0.44,0.05767793590617509,0.05079483217833124,0.16556096962355316,0.005807357914415182,0.008246181265512912
pythia-70m/10000,0.0,0.12,0.19285714285714287,0.68,0.38181818181818183,0.625,0.58,0.0643663014131626,0.013771929824561404,0.13162512579983593,0.005094923123749672,0.008009352082020497
pythia-70m/12000,0.0,0.14,0.16428571428571428,0.34,0.4227272727272727,0.619047619047619,0.6,0.06313988104372979,0.0,0.13834177513154494,0.0038109303381926845,0.007015208914597957
pythia-70m/15000,0.0,0.22,0.22142857142857145,0.6,0.38636363636363635,0.44642857142857145,0.56,0.0530041602344014,0.04664762716680875,0.1683143047999679,0.008833802481978546,0.011899163831209132
pythia-70m/18000,0.0,0.12,0.2785714285714286,0.36,0.40454545454545454,0.6428571428571429,0.52,0.06084014234466723,0.01190775681341719,0.14425587524663208,0.012096136883912775,0.006062518562518563
pythia-70m/21000,0.0,0.2,0.225,0.38,0.3590909090909091,0.42857142857142855,0.56,0.07843080945645046,0.023653846153846154,0.11556972860454832,0.007579849537219762,0.009159927236168633
