name,url,num_parameters
Yi (6B),01-ai/yi-6b,6.0
Yi Chat (6B),01-ai/yi-6b-chat,6.0
OLMo (7B),allenai/olmo-7b,7.0
OLMo (7B Instruct),allenai/olmo-7b-instruct,7.0
OLMo 1.7 (7B),allenai/olmo-1.7-7b,7.0
Mistral v0.1 (7B),mistralai/mistral-7b-v0.1,7.3
Mistral Instruct v0.3 (7B),mistralai/mistral-7b-instruct-v0.3,7.3
MPT (7B),mosaicml/mpt-7b,6.7
Nemotron-4 Instruct (340B),nvidia/nemotron-4-340b-instruct,0.4
Qwen,qwen/qwen-7b,7.0
Qwen1.5 (7B),qwen/qwen1.5-7b,7.0
Qwen1.5 (14B),qwen/qwen1.5-14b,14.0
Qwen1.5 Chat (7B),qwen/qwen1.5-7b-chat,7.0
Qwen1.5 Chat (14B),qwen/qwen1.5-14b-chat,14.0
Qwen2.5 Instruct (7B),qwen/qwen2.5-7b-instruct,7.0
Sailor (7B),sail/sailor-7b,7.0
Sailor Chat (7B),sail/sailor-7b-chat,7.0
Typhoon (7B),scb10x/typhoon-7b,7.0
Typhoon v1.5 (8B),scb10x/typhoon-v1.5-8b,8.0
Typhoon v1.5 Instruct (8B),scb10x/typhoon-v1.5-8b-instruct,8.0
StableLM-Base-Alpha (3B),stabilityai/stablelm-base-alpha-3b,3.0
StableLM-Base-Alpha (7B),stabilityai/stablelm-base-alpha-7b,7.0
Falcon (7B),tiiuae/falcon-7b,7.0
Falcon-Instruct (7B),tiiuae/falcon-7b-instruct,7.0
Sabia 7B,maritaca-ai/sabia-7b,6.7
Granite 3.1 - 8B - Base,ibm-granite/granite-3.1-8b-base,8.2
Granite 3.1 - 8B - Instruct,ibm-granite/granite-3.1-8b-instruct,8.2
Granite 3.1 - 2B - Instruct,ibm-granite/granite-3.1-2b-instruct,2.5
Granite 3.1 - 2B - Base,ibm-granite/granite-3.1-2b-base,2.5
DeepSeek-R1-Distill-Llama-8b,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,8.0
DeepSeek-Coder-6.7b-Instruct,deepseek-ai/deepseek-coder-6.7b-instruct,6.7
